formula,Temperature,zt,k,c,s
Bi1Cu1Se1O1,700,0.16,0.7723,13.717,354.565
Bi0.95Nd0.05Cu1Se1O1,700,0.22,0.77,27.581,295.916
Bi0.90Nd0.10Cu1Se1O1,700,0.28,0.6603,44.568000000000005,244.56599999999997
Bi0.85Nd0.15Cu1Se1O1,700,0.15,0.9641,65.01899999999999,178.00799999999998
Bi0.94Pb0.06Cu0Fe0Se1O1,700,0.88,0.5723,142.428,226.15400000000002
Bi0.94Pb0.06Cu0.99Fe0.01Se1O1,700,1.19,0.5849,184.75099999999998,231.805
Bi0.94Pb0.06Cu0.98Fe0.02Se1O1,700,1.03,0.5831,163.175,229.827
Bi0.94Pb0.06Cu0.97Fe0.03Se1O1,700,0.84,0.6452,129.98,244.662
Bi1Cu1Se1O1,700,0.1,0.4988,4.755,391.31800000000004
Bi0.975Ca0.025CuSe1O1,700,0.35,0.5383,24.525,280.868
Bi0.950Ca0.05Cu1Se1O1,700,0.4,0.5601,43.816,230.707
Bi0.90Ca0.10Cu1Se1O1,700,0.38,0.6451,158.115,167.042
Bi1Cu1Se1O1,700,0.39,0.3701,8.566,405.45099999999996
Bi0.875Ba0.125Cu1Se1O1,700,0.87,0.7491,321.177,169.938
Bi0.75Ba0.25Cu1Se1O1,700,0.57,0.878,444.8,127.321
Bi1Cu1Se1O1,700,0.35,0.4932,30.612,308.235
Bi0.94Mg0.03Pb0.03Cu1Se1O1,700,0.93,0.6545,203.15400000000002,209.412
Bi0.88Mg0.06Pb0.06Cu1Se1O1,700,1.01,0.7325,353.43199999999996,172.101
Bi0.82Mg0.09Pb0.09Cu1Se1O1,700,0.98,0.8227,589.981,140.84
Bi1Cu1Se1O1,700,0.35,0.4386,20.108,330.084
Bi1Cu0.975Zn0.025Se1O1,700,0.34,0.5284,19.183,364.874
Bi1Cu0.925Zn0.075Se1O1,700,0.37,0.4642,29.045,289.748
Bi1Cu0.900Zn0.100Se1O1,700,0.5,0.4909,31.587,331.597
Bi1Cu1Se1O1,700,0.35,0.4958,25.930999999999997,308.515
Bi1Cu0.98Ag0.02Se1O1,700,0.43,0.46299999999999997,34.951,283.868
Bi1Cu0.95Ag0.05Se1O1,700,0.57,0.4051,31.324,325.241
Bi1Cu0.92Ag0.08Se1O1,700,0.63,0.4176,29.215999999999998,356.051
Bi1Cu1Se1O1,700,0.35,0.4952,25.537,309.519
Bi0.95Zn0.05Cu1Se1O0.95S0.05,700,0.56,0.5356,38.071,337.60400000000004
Bi1Cu1Se1O1,700,0.09,0.6648,4.627,406.44699999999995
Bi0.98Li0.02Cu0.98Mn0.02Se1O1,700,0.26,0.6816,18.921,363.855
Bi0.92Li0.08Cu0.92Mn0.08Se1O1,700,0.39,0.7044,40.361999999999995,309.225
Bi0.90Li0.10Cu0.90Mn0.10Se1O1,700,0.44,0.6155,37.595,318.947
Bi0.9Li0.1Cu1Se1O1,700,0.24,0.7236,25.721999999999998,308.762
BiCu0.9Mn0.1Se1O1,700,0.24,0.648,17.768,353.207
Bi1Cu1Se1O1,700,0.09,0.6689,4.848,407.25800000000004
Bi0.875Ba0.125Cu1.0Ni0Se1O1,700,0.19,0.7193,37.585,267.41900000000004
Bi0.875Ba0.125Cu0.95Ni0.05Se1O1,700,0.26,0.648,27.818,344.839
Bi0.875Ba0.125Cu0.9Ni0.1Se1O1,700,0.34,0.6209,24.92,344.839
Bi0.875Ba0.125Cu0.85Ni0.15Se1O1,700,0.41,0.6086,24.49,382.097
Bi0.875Ba0.125Cu0.8Ni0.2Se1O1,700,0.28,0.7119,52.718999999999994,234.516
Bi1Cu1Se1O1,700,0.39,0.4875,24.094,330.358
Bi0.96Ca0.04Cu1Se1O1,700,0.5,0.3708,24.9,323.996
Bi0.90Ca0.10Cu1Se1O1,700,0.32,0.4321,37.785,229.91099999999997
Bi0.85Ca0.15Cu1Se1O1,700,0.38,0.4075,73.82600000000001,173.99599999999998
Bi1Cu1Se1O1,700,0.42,0.5199,27.743000000000002,332.14300000000003
Bi0.98Pb0.02Cu1Se1O1,700,0.66,0.5525,70.612,273.214
Bi0.96Pb0.04Cu1Se1O1,700,0.74,0.5781,119.67299999999999,227.38099999999997
Bi0.94Pb0.06Cu1Se1O1,700,0.92,0.6377,216.64700000000002,199.405
Bi0.92Pb0.08Cu1Se1O1,700,0.72,0.747,282.045,165.476
Bi0.90Pb0.10Cu1Se1O1,700,0.63,0.8166,336.265,148.81
Bi1Cu1Se1O1,700,0.35,0.7024,15.860999999999999,349.85400000000004
Bi0.96Na0.04Cu1Se1O1,700,0.54,0.6233,37.273,249.563
Bi0.94Na0.06Cu1Se1O1,700,0.63,0.5938,43.85,244.898
Bi0.92Na0.08Cu1Se1O1,700,0.67,0.5710000000000001,41.206,251.312
Bi0.88Na0.12Cu1Se1O1,700,0.64,0.6099,64.567,227.405
Bi1Cu1Se1O1,700,0.13,0.5041,6.97,364.245
Bi0.975Sr0.025Cu1Se1O1,700,0.21,0.5577,14.347000000000001,338.061
Bi0.95Sr0.05Cu1Se1O1,700,0.24,0.5934,40.309,225.842
Bi0.9Sr0.1Cu1Se1O1,700,0.36,0.6757,123.564,167.238
Bi0.875Sr0.125Cu1Se1O1,700,0.34,0.7801,160.474,154.14600000000002
Bi0.85Sr0.15Cu1Se1O1,700,0.4,0.8021,238.989,137.313
Bi1Cu1Se1O1,700,0.46,0.6341,36.857,337.43699999999995
Bi0.98Cl0.02Cu1Se1O1,700,0.21,0.6805,16.381,352.03
Bi0.94Cl0.06Cu1Se1O1,700,0.08,0.665,8.667,287.944
Bi0.90Cl0.10Cu1Se1O1,700,0.05,0.6805,5.619,285.406
Bi1Cu1Se1O1,700,0.14,0.34299999999999997,4.55,372.751
Bi0.96Yb0.04Cu1Se1O1,700,0.22,0.4627,14.225,317.738
Bi0.94Yb0.06Cu1Se1O1,700,0.32,0.4415,26.319000000000003,275.578
Bi0.92Yb0.08Cu1Se1O1,700,0.2,0.4232,10.168,350.129
Bi0.90Yb0.10Cu1Se1O1,700,0.19,0.40700000000000003,9.856,335.733
Bi0.85Yb0.15Cu1Se1O1,700,0.27,0.4486,56.123999999999995,173.265
Bi0.7Yb0.3Cu1Se1O1,700,0.3,0.4408,60.805,176.35
