sum_Number,sum_MendeleevNumber,sum_AtomicWeight,sum_MeltingT,sum_Column,sum_Row,sum_CovalentRadius,sum_Electronegativity,sum_NsValence,sum_NpValence,sum_NdValence,sum_NfValence,sum_NValence,sum_NsUnfilled,sum_NpUnfilled,sum_NdUnfilled,sum_NfUnfilled,sum_NUnfilled,sum_GSvolume_pa,sum_GSbandgap,sum_GSmagmom,sum_SpaceGroupNumber,avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,var_Number,var_MendeleevNumber,var_AtomicWeight,var_MeltingT,var_Column,var_Row,var_CovalentRadius,var_Electronegativity,var_NsValence,var_NpValence,var_NdValence,var_NfValence,var_NValence,var_NsUnfilled,var_NpUnfilled,var_NdUnfilled,var_NfUnfilled,var_NUnfilled,var_GSvolume_pa,var_GSbandgap,var_GSmagmom,var_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber
154,326,367.4858,2450.97,58,16,466,9.91,7,11,30,14,62,1,7,0,0,8,79.045,0.799,0,263,38.5,81.5,91.87145,612.7425,14.5,4,116.5,2.4775,1.75,2.75,7.5,3.5,15.5,0.25,1.75,0,0,2,19.76125,0.19975,0,65.75,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,755.25,103.25,5110.0277,221284.0719,4.25,2,948.75,0.36861875,0.1875,2.6875,18.75,36.75,73.25,0.1875,1.1875,0,0,0.5,100.2417047,0.119700188,0,8454.1875
153.86,326,367.099996,2456.8504,58,16,466.09,9.9058,7,11,30,13.86,61.86,1,7,0,0,8,79.11953333,0.79565,0,265.92,38.465,81.5,91.774999,614.2126,14.5,4,116.5225,2.47645,1.75,2.75,7.5,3.465,15.465,0.25,1.75,0,0,2,19.77988333,0.1989125,0,66.48,75,26,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,25.65833333,0.799,0,213,541.1388889,78.91666667,3648.727478,159187.8031,3.138888889,1.555555556,740.1388889,0.281955556,0.138888889,2,13.88888889,27.22222222,48.91666667,0.138888889,1,0,0,0.472222222,107.5876189,0.097972583,0,7584.805556
153.72,326,366.714192,2462.7308,58,16,466.18,9.9016,7,11,30,13.72,61.72,1,7,0,0,8,79.19406667,0.7923,0,268.84,38.43,81.5,91.678548,615.6827,14.5,4,116.545,2.4754,1.75,2.75,7.5,3.43,15.43,0.25,1.75,0,0,2,19.79851667,0.198075,0,67.21,75,26,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,25.65833333,0.799,0,213,541.1388889,78.91666667,3648.727478,159187.8031,3.138888889,1.555555556,740.1388889,0.281955556,0.138888889,2,13.88888889,27.22222222,48.91666667,0.138888889,1,0,0,0.472222222,107.5876189,0.097972583,0,7584.805556
153.44,326,365.942584,2474.4916,58,16,466.36,9.8932,7,11,30,13.44,61.44,1,7,0,0,8,79.34313333,0.7856,0,274.68,38.36,81.5,91.485646,618.6229,14.5,4,116.59,2.4733,1.75,2.75,7.5,3.36,15.36,0.25,1.75,0,0,2,19.83578333,0.1964,0,68.67,75,26,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,25.65833333,0.799,0,213,541.1388889,78.91666667,3648.727478,159187.8031,3.138888889,1.555555556,740.1388889,0.281955556,0.138888889,2,13.88888889,27.22222222,48.91666667,0.138888889,1,0,0,0.472222222,107.5876189,0.097972583,0,7584.805556
153.16,326,365.170976,2486.2524,58,16,466.54,9.8848,7,11,30,13.16,61.16,1,7,0,0,8,79.4922,0.7789,0,280.52,38.29,81.5,91.292744,621.5631,14.5,4,116.635,2.4712,1.75,2.75,7.5,3.29,15.29,0.25,1.75,0,0,2,19.87305,0.194725,0,70.13,75,26,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,25.65833333,0.799,0,213,541.1388889,78.91666667,3648.727478,159187.8031,3.138888889,1.555555556,740.1388889,0.281955556,0.138888889,2,13.88888889,27.22222222,48.91666667,0.138888889,1,0,0,0.472222222,107.5876189,0.097972583,0,7584.805556
152.88,326,364.399368,2498.0132,58,16,466.72,9.8764,7,11,30,12.88,60.88,1,7,0,0,8,79.64126667,0.7722,0,286.36,38.22,81.5,91.099842,624.5033,14.5,4,116.68,2.4691,1.75,2.75,7.5,3.22,15.22,0.25,1.75,0,0,2,19.91031667,0.19305,0,71.59,75,26,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,25.65833333,0.799,0,213,541.1388889,78.91666667,3648.727478,159187.8031,3.138888889,1.555555556,740.1388889,0.281955556,0.138888889,2,13.88888889,27.22222222,48.91666667,0.138888889,1,0,0,0.472222222,107.5876189,0.097972583,0,7584.805556
154,326,367.4858,2450.97,58,16,466,9.91,7,11,30,14,62,1,7,0,0,8,79.045,0.799,0,263,38.5,81.5,91.87145,612.7425,14.5,4,116.5,2.4775,1.75,2.75,7.5,3.5,15.5,0.25,1.75,0,0,2,19.76125,0.19975,0,65.75,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,755.25,103.25,5110.0277,221284.0719,4.25,2,948.75,0.36861875,0.1875,2.6875,18.75,36.75,73.25,0.1875,1.1875,0,0,0.5,100.2417047,0.119700188,0,8454.1875
153.7,324.98,366.651372,2475.482,57.76,16,466.82,9.8944,7,10.94,29.8,13.96,61.7,1,6.94,0,0.04,7.98,78.9977,0.799,0,266.64,38.425,81.245,91.662843,618.8705,14.44,4,116.705,2.4736,1.75,2.735,7.45,3.49,15.425,0.25,1.735,0,0.01,1.995,19.749425,0.19975,0,66.66,75,54,192.981,1715.2,13,4,123,2.2,1,4,10,14,23,1,3,0,2,2,23.845,0.799,0,213,743.44,428.56,4997.347391,391306.4449,24.56,2.24,1600,0.53992,0.16,3.36,24,40.96,58.96,0.16,1.44,0,0.64,0.4,98.937934,0.10214416,0,9395.04
153.4,323.96,365.816944,2499.994,57.52,16,467.64,9.8788,7,10.88,29.6,13.92,61.4,1,6.88,0,0.08,7.96,78.9504,0.799,0,270.28,38.35,80.99,91.454236,624.9985,14.38,4,116.91,2.4697,1.75,2.72,7.4,3.48,15.35,0.25,1.72,0,0.02,1.99,19.7376,0.19975,0,67.57,75,54,192.981,1715.2,13,4,123,2.2,1,4,10,14,23,1,3,0,2,2,23.845,0.799,0,213,743.44,428.56,4997.347391,391306.4449,24.56,2.24,1600,0.53992,0.16,3.36,24,40.96,58.96,0.16,1.44,0,0.64,0.4,98.937934,0.10214416,0,9395.04
153.1,322.94,364.982516,2524.506,57.28,16,468.46,9.8632,7,10.82,29.4,13.88,61.1,1,6.82,0,0.12,7.94,78.9031,0.799,0,273.92,38.275,80.735,91.245629,631.1265,14.32,4,117.115,2.4658,1.75,2.705,7.35,3.47,15.275,0.25,1.705,0,0.03,1.985,19.725775,0.19975,0,68.48,75,54,192.981,1715.2,13,4,123,2.2,1,4,10,14,23,1,3,0,2,2,23.845,0.799,0,213,743.44,428.56,4997.347391,391306.4449,24.56,2.24,1600,0.53992,0.16,3.36,24,40.96,58.96,0.16,1.44,0,0.64,0.4,98.937934,0.10214416,0,9395.04
152.8,321.92,364.148088,2549.018,57.04,16,469.28,9.8476,7,10.76,29.2,13.84,60.8,1,6.76,0,0.16,7.92,78.8558,0.799,0,277.56,38.2,80.48,91.037022,637.2545,14.26,4,117.32,2.4619,1.75,2.69,7.3,3.46,15.2,0.25,1.69,0,0.04,1.98,19.71395,0.19975,0,69.39,75,54,192.981,1715.2,13,4,123,2.2,1,4,10,14,23,1,3,0,2,2,23.845,0.799,0,213,743.44,428.56,4997.347391,391306.4449,24.56,2.24,1600,0.53992,0.16,3.36,24,40.96,58.96,0.16,1.44,0,0.64,0.4,98.937934,0.10214416,0,9395.04
152.5,320.9,363.31366,2573.53,56.8,16,470.1,9.832,7,10.7,29,13.8,60.5,1,6.7,0,0.2,7.9,78.8085,0.799,0,281.2,38.125,80.225,90.828415,643.3825,14.2,4,117.525,2.458,1.75,2.675,7.25,3.45,15.125,0.25,1.675,0,0.05,1.975,19.702125,0.19975,0,70.3,75,54,192.981,1715.2,13,4,123,2.2,1,4,10,14,23,1,3,0,2,2,23.845,0.799,0,213,743.44,428.56,4997.347391,391306.4449,24.56,2.24,1600,0.53992,0.16,3.36,24,40.96,58.96,0.16,1.44,0,0.64,0.4,98.937934,0.10214416,0,9395.04
154,326,367.4858,2450.97,58,16,466,9.91,7,11,30,14,62,1,7,0,0,8,79.045,0.799,0,263,38.5,81.5,91.87145,612.7425,14.5,4,116.5,2.4775,1.75,2.75,7.5,3.5,15.5,0.25,1.75,0,0,2,19.76125,0.19975,0,65.75,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,755.25,103.25,5110.0277,221284.0719,4.25,2,948.75,0.36861875,0.1875,2.6875,18.75,36.75,73.25,0.1875,1.1875,0,0,0.5,100.2417047,0.119700188,0,8454.1875
153.88,325.52,367.08782,2476.5564,57.88,16,465.4,9.9292,7.06,10.94,29.88,14,61.88,0.94,7.06,0.12,0,8.12,78.7096,0.799,0.035723682,275.78,38.47,81.38,91.771955,619.1391,14.47,4,116.35,2.4823,1.765,2.735,7.47,3.5,15.47,0.235,1.765,0.03,0,2.03,19.6774,0.19975,0.00893092,68.945,75,28,192.981,1673.2,6,4,82,1.54,1,4,10,14,23,1,4,2,0,3,23.845,0.799,0.5953947,213,807,126.6666667,5619.464023,321044.7748,5.555555556,1.888888889,748.8888889,0.288847222,0.138888889,2.805555556,13.33333333,43.55555556,78.55555556,0.138888889,2.138888889,0.555555556,0,0.888888889,93.26778681,0.088666806,0.049235396,11271.80556
